order_id,created_at,buyerEmail,buyerPhone,customerId,line_items,totalAmount,currencyCode,state,address_line1,address_city,address_country,email,phone,cust_id,items,amount,ccy,order_ts,geo_region,shipping_address_line1,shipping_address_city,shipping_address_country,shipping_address,address,orderRef,created,total,currency,region,shippingAddress,customer_id,customer_email,customer_phone,shippingAddress_line1,shippingAddress_city,shippingAddress_country
ORD-000001,2023-10-10 22:31:55+00:00,user677@pulse.africa,+2348026726926,,"[{'sku': 'SKU-0155', 'quantity': 3, 'unit_price': 9000}, {'sku': 'SKU-0098', 'quantity': 3, 'unit_price': 6700}, {'sku': 'SKU-0065', 'quantity': 1, 'unit_price': 2500}, {'sku': 'SKU-0000', 'quantity': 3, 'unit_price': 2700}]",57700.0,NGN,Kano,77 GRA Rd,Kano,NG,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-000002,2023-05-07 16:14:42+00:00,user623@pulse.africa,+2348087844239,CUST-00562,"[{'sku': 'SKU-0141', 'quantity': 1, 'unit_price': 4200}, {'sku': 'SKU-0107', 'quantity': 3, 'unit_price': 26000}, {'sku': 'SKU-0173', 'quantity': 3, 'unit_price': 6700}]",102300.0,NGN,Kaduna,83 Wuse Rd,Kaduna,NG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,+2348073771720,,"[{'sku': 'SKU-0203', 'qty': 3, 'price': 2700}, {'sku': 'SKU-0168', 'qty': 1, 'price': 3000}, {'sku': 'SKU-0131', 'qty': 3, 'price': 2000}, {'sku': 'SKU-0023', 'qty': 1, 'price': 3000}]",20100.0,NGN,1679701829.0,PH,197 Alausa Rd,PH,NG,,,,,,,,,,,,,,
,,,,,,,,,,,,user935@mail.com,+2348099600766,,"[{'sku': 'SKU-0102', 'qty': 1, 'price': 12200}, {'sku': 'SKU-0167', 'qty': 3, 'price': 9000}, {'sku': 'SKU-0192', 'qty': 1, 'price': 7500}, {'sku': 'SKU-0056', 'qty': 1, 'price': 26000}]",72700.0,NGN,1679055363.0,Kaduna,,,,"144 GRA Rd, Kaduna",,,,,,,,,,,,,
ORD-000005,2023-08-26 22:20:00+00:00,user901@example.com,+2348041473195,CUST-00642,"[{'sku': 'SKU-0212', 'quantity': 3, 'unit_price': 13000}, {'sku': 'SKU-0040', 'quantity': 3, 'unit_price': 10000}, {'sku': 'SKU-0115', 'quantity': 2, 'unit_price': 18200}, {'sku': 'SKU-0215', 'quantity': 3, 'unit_price': 3000}]",114400.0,NGN,PH,,,,,,,,,,,,,,,,"82 GRA Rd, PH",,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0180', 'qty': 1, 'price': 12000}, {'sku': 'SKU-0106', 'qty': 2, 'price': 25500}]",,,,,,,,,,ORD-000006,2023-03-31 19:30,63000.0,NGN,Kaduna,"2 Sabon Gari Rd, Kaduna",CUST-00212,user798@example.com,+2348087267850,,,
ORD-000007,2023-11-28 10:42:41+00:00,user56@example.com,+2348028213276,CUST-00607,"[{'sku': 'SKU-0191', 'quantity': 3, 'unit_price': 1700}, {'sku': 'SKU-0124', 'quantity': 1, 'unit_price': 3000}, {'sku': 'SKU-0111', 'quantity': 2, 'unit_price': 18000}, {'sku': 'SKU-0099', 'quantity': 2, 'unit_price': 3500}, {'sku': 'SKU-0185', 'quantity': 1, 'unit_price': 3500}]",63.79,USD,Kaduna,47 Alausa Rd,Kaduna,NG,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-000008,2023-03-24 04:49:00+00:00,user141@example.com,+2348043189803,CUST-00359,"[{'sku': 'SKU-0086', 'quantity': 2, 'unit_price': 4500}, {'sku': 'SKU-0192', 'quantity': 2, 'unit_price': 7000}, {'sku': 'SKU-0213', 'quantity': 1, 'unit_price': 19000}]",42500.0,NGN,Kaduna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0171', 'qty': 1, 'price': 4200}, {'sku': 'SKU-0119', 'qty': 3, 'price': 25500}, {'sku': 'SKU-0196', 'qty': 2, 'price': 4200}, {'sku': 'SKU-0155', 'qty': 3, 'price': 9000}]",,,,,,,,,,ORD-000009,2023-04-03 15:24,116100.0,NGN,Abuja,,,user1186@example.com,+2348087282128,246 Wuse Rd,Abuja,NG
,,,,,,,,,,,,user26@shop.ng,+2348024165187,,"[{'productSku': 'SKU-0176', 'qty': 3, 'price': 25200}, {'productSku': 'SKU-0026', 'qty': 3, 'price': 7000}, {'productSku': 'SKU-0217', 'qty': 3, 'price': 9000}, {'productSku': 'SKU-0203', 'qty': 3, 'price': 2500}, {'productSku': 'SKU-0088', 'qty': 3, 'price': 5000}]",146100.0,NGN,1679186043.0,Lagos,,,,"93 Wuse Rd, Lagos",,,,,,,,,,,,,
,,,,,,,,,,,,user435@pulse.africa,+2348055679506,CUST-00333,"[{'sku': 'SKU-0206', 'qty': 3, 'price': 26000}, {'sku': 'SKU-0119', 'qty': 2, 'price': 25500}, {'sku': 'SKU-0082', 'qty': 1, 'price': 6500}, {'sku': 'SKU-0071', 'qty': 2, 'price': 1700}, {'sku': 'SKU-0192', 'qty': 2, 'price': 7500}]",153900.0,NGN,1690038115.0,Kano,,,,"153 Sabon Gari Rd, Kano",,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0125', 'qty': 3, 'price': 1700}, {'sku': 'SKU-0176', 'qty': 2, 'price': 26000}, {'sku': 'SKU-0114', 'qty': 1, 'price': 2500}, {'sku': 'SKU-0075', 'qty': 1, 'price': 10000}]",,,,,,,,,,ORD-000012,2023-02-03 05:58,69600.0,NGN,Abuja,"180 Wuse Rd, Abuja",CUST-00596,user1134@pulse.africa,+2348083871890,,,
ORD-000013,2023-03-31 12:46:13+00:00,user580@example.com,+2348049761527,CUST-00779,"[{'sku': 'SKU-0080', 'quantity': 1, 'unit_price': 1700}, {'sku': 'SKU-0049', 'quantity': 1, 'unit_price': 26000}]",28200.0,NGN,Lagos,,,,,,,,,,,,,,,,"46 Sabon Gari Rd, Lagos",,,,,,,,,,,,
,,,,,,,,,,,,user1006@example.com,+2348087049595,,"[{'sku': 'SKU-0013', 'qty': 3, 'price': 4500}]",13500.0,NGN,1676778619.0,Kano,,,,"123 Wuse Rd, Kano",,,,,,,,,,,,,
ORD-000015,2023-12-01 15:50:24+00:00,,,CUST-00703,"[{'sku': 'SKU-0210', 'quantity': 1, 'unit_price': 13000}]",13000.0,NGN,Kaduna,78 Alausa Rd,Kaduna,NG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0152', 'qty': 3, 'price': 12200}, {'sku': 'SKU-0198', 'qty': 3, 'price': 19000}, {'sku': 'SKU-0115', 'qty': 2, 'price': 18500}, {'sku': 'SKU-0150', 'qty': 2, 'price': 12500}, {'sku': 'SKU-0145', 'qty': 3, 'price': 6500}]",,,,,,,,,,ORD-000016,2023-08-05 17:37,175100.0,NGN,Kaduna,"142 Alausa Rd, Kaduna",CUST-00782,user433@pulse.africa,+2348031079846,,,
ORD-000017,2023-06-24 22:59:55+00:00,user406@shop.ng,,CUST-00678,"[{'sku': 'SKU-0074', 'quantity': 1, 'unit_price': 2700}, {'sku': 'SKU-0073', 'quantity': 3, 'unit_price': 4500}, {'sku': 'SKU-0179', 'quantity': 2, 'unit_price': 1500}, {'sku': 'SKU-0175', 'quantity': 1, 'unit_price': 9500}]",28700.0,NGN,PH,,,,,,,,,,,,,,,,"39 Sabon Gari Rd, PH",,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0152', 'qty': 3, 'price': 12500}, {'sku': 'SKU-0112', 'qty': 1, 'price': 26000}, {'sku': 'SKU-0176', 'qty': 2, 'price': 26000}]",,,,,,,,,,ORD-000018,2023-01-24 03:52,118.1,USD,Abuja,"83 GRA Rd, Abuja",CUST-00449,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0005', 'qty': 3, 'price': 18500}, {'sku': 'SKU-0147', 'qty': 1, 'price': 6700}, {'sku': 'SKU-0120', 'qty': 3, 'price': 19000}, {'sku': 'SKU-0071', 'qty': 1, 'price': 2500}, {'sku': 'SKU-0162', 'qty': 2, 'price': 6500}]",,,,,,,,,,ORD-000019,2023-03-30 21:43,134700.0,NGN,PH,"242 Wuse Rd, PH",CUST-00329,user330@pulse.africa,+2348076500726,,,
,,,,,,,,,,,,user3@shop.ng,+2348035176902,CUST-00527,"[{'productSku': 'SKU-0080', 'qty': 2, 'price': 2000}]",4000.0,NGN,1673762551.0,Kaduna,,,,"160 Wuse Rd, Kaduna",,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0073', 'qty': 2, 'price': 5000}, {'sku': 'SKU-0031', 'qty': 1, 'price': 9200}]",,,,,,,,,,ORD-000021,2023-04-14 17:08,19200.0,NGN,PH,"31 Garki Rd, PH",CUST-00015,user191@mail.com,+2348025228493,,,
,,,,,,,,,,,,user1040@pulse.africa,+2348047962005,CUST-00425,"[{'sku': 'SKU-0106', 'qty': 2, 'price': 26000}, {'sku': 'SKU-0062', 'qty': 2, 'price': 18200}, {'sku': 'SKU-0098', 'qty': 1, 'price': 6700}]",103.37,USD,1682324448.0,PH,215 GRA Rd,PH,NG,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0088', 'qty': 2, 'price': 5000}, {'sku': 'SKU-0116', 'qty': 2, 'price': 12200}, {'sku': 'SKU-0178', 'qty': 1, 'price': 19000}, {'sku': 'SKU-0059', 'qty': 2, 'price': 4000}]",,,,,,,,,,ORD-000023,2023-06-23 10:07,61400.0,NGN,PH,,CUST-00391,user1360@mail.com,+2348014968688,,,
